response,term,N,AIC,B,SE,P,Low CI,Upp CI,Effect Size,Low CI,Upp CI,M R2,C R2,LRT
Investigate Duration,Diseased,1156,4997.0,0.034,0.072,0.635,-0.107,0.176,1.035,0.898,1.193,0.000,0.001,0.121
Investigate Duration,Group Size_scaled,1156,4997.4,0.075,0.036,0.036,0.005,0.144,1.078,1.005,1.155,0.000,0.001,0.144
Investigate Duration,Daylight,1156,4999.4,0.039,0.072,0.585,-0.101,0.180,1.040,0.904,1.197,0.000,0.001,0.400
Investigate Duration,Wood Puzzle,1156,4992.4,-0.026,0.066,0.695,-0.155,0.103,0.975,0.857,1.109,0.000,0.001,0.012
Investigate Duration,Male,1028,4591.0,0.021,0.067,0.759,-0.111,0.152,1.021,0.895,1.164,0.000,0.001,0.015
Investigate Duration,Sequence,996,4639.6,-0.039,0.050,0.431,-0.137,0.059,0.961,0.872,1.060,0.000,0.001,0.229
Investigate Duration,Temperature,996,4640.1,0.054,0.037,0.140,-0.018,0.126,1.056,0.982,1.135,0.000,0.001,0.294
Investigate Duration,Second Year,996,4640.7,-0.022,0.078,0.781,-0.174,0.130,0.979,0.841,1.139,0.000,0.001,0.390
Contact Duration,Diseased,996,2357.1,-0.131,0.113,0.244,-0.353,0.090,0.877,0.703,1.094,0.000,0.001,0.000
Contact Duration,Group Size_scaled,996,2382.5,0.006,0.051,0.911,-0.094,0.105,1.006,0.910,1.111,0.000,0.001,0.994
Contact Duration,Daylight,996,2374.9,0.152,0.110,0.167,-0.064,0.368,1.164,0.938,1.445,0.000,0.001,0.023
Contact Duration,Wood Puzzle,1156,2517.8,-0.013,0.110,0.908,-0.227,0.202,0.987,0.797,1.224,0.000,0.001,0.000
Contact Duration,Male,1028,2333.6,0.042,0.113,0.707,-0.179,0.264,1.043,0.836,1.303,0.000,0.001,0.041
Contact Duration,Sequence,1156,2533.4,-0.014,0.076,0.858,-0.162,0.135,0.987,0.850,1.145,0.000,0.001,0.756
Contact Duration,Temperature,1156,2530.3,0.045,0.060,0.454,-0.072,0.161,1.046,0.930,1.175,0.000,0.001,0.157
Contact Duration,Second Year,1156,2528.0,0.064,0.123,0.601,-0.177,0.306,1.067,0.838,1.358,0.000,0.001,0.050
No. Behaviours,Diseased,220,701.5,-0.058,0.107,0.589,-0.268,0.152,0.944,0.765,1.164,0.002,0.022,0.586
No. Behaviours,Group Size_scaled,231,732.8,0.029,0.047,0.542,-0.064,0.121,1.029,0.938,1.128,0.002,0.016,0.544
No. Behaviours,Daylight,231,731.0,0.142,0.096,0.137,-0.045,0.329,1.153,0.956,1.390,0.012,0.014,0.141
No. Behaviours,Wood Puzzle,231,731.5,-0.126,0.099,0.205,-0.320,0.069,0.882,0.726,1.071,0.010,0.010,0.207
No. Behaviours,Male,215,689.0,-0.050,0.097,0.610,-0.241,0.141,0.952,0.786,1.152,0.002,0.008,0.073
No. Behaviours,Sequence,231,732.7,-0.033,0.050,0.509,-0.130,0.064,0.968,0.878,1.067,0.003,0.014,0.504
No. Behaviours,Temperature,231,732.6,0.034,0.048,0.480,-0.060,0.128,1.034,0.942,1.136,0.003,0.011,0.479
No. Behaviours,Second Year,231,732.7,-0.070,0.105,0.507,-0.275,0.136,0.933,0.760,1.145,0.002,0.013,0.509
Escape Gait,Diseased,996,615.8,0.008,0.243,0.975,-0.469,0.484,1.008,0.626,1.623,0.000,0.057,0.975
Escape Gait,Group Size_scaled,996,609.9,-0.358,0.165,0.030,-0.681,-0.035,0.699,0.506,0.966,0.036,0.086,0.015
Escape Gait,Daylight,996,614.3,-0.304,0.250,0.224,-0.793,0.186,0.738,0.452,1.205,0.006,0.064,0.217
Escape Gait,Wood Puzzle,996,612.8,-0.391,0.227,0.085,-0.836,0.054,0.676,0.433,1.056,0.011,0.065,0.084
Escape Gait,Male,902,525.7,-0.691,0.259,0.008,-1.199,-0.183,0.501,0.302,0.833,0.033,0.082,0.172
Escape Gait,Sequence,996,613.0,-0.217,0.133,0.103,-0.479,0.044,0.805,0.620,1.045,0.013,0.096,0.096
Escape Gait,Temperature,996,613.1,-0.182,0.111,0.099,-0.399,0.034,0.833,0.671,1.035,0.009,0.063,0.102
Escape Gait,Second Year,996,615.3,0.196,0.267,0.462,-0.327,0.719,1.217,0.721,2.052,0.002,0.057,0.458
Solves,Diseased,996,358.5,0.175,0.346,0.613,-0.504,0.854,1.192,0.604,2.349,0.001,0.293,0.614
Solves,Group Size_scaled,996,358.6,0.045,0.142,0.754,-0.235,0.324,1.046,0.791,1.383,0.000,0.291,0.756
Solves,Daylight,996,355.6,0.573,0.322,0.076,-0.059,1.205,1.773,0.943,3.336,0.016,0.302,0.077
Solves,Wood Puzzle,996,358.5,0.170,0.334,0.612,-0.486,0.825,1.185,0.615,2.283,0.002,0.301,0.611
Solves,Male,902,342.0,-0.111,0.326,0.735,-0.750,0.529,0.895,0.472,1.698,0.001,0.297,0.003
Solves,Sequence,996,358.4,-0.160,0.282,0.570,-0.713,0.392,0.852,0.490,1.480,0.006,0.296,0.562
Solves,Temperature,996,356.2,0.318,0.204,0.118,-0.081,0.718,1.375,0.922,2.050,0.022,0.287,0.108
Solves,Second Year,996,358.2,0.272,0.364,0.454,-0.441,0.985,1.313,0.644,2.678,0.003,0.298,0.448
